name,location,category,latitude,longitude,image_url,official_url,designated
Masdar City Free Zone,Abu Dhabi,NA,24.426932243494182, 54.61500045376603,https://www.moec.gov.ae/documents/20121/196821/Masdar-City-%281%29.jpg/f16b9721-e018-bb04-5010-3dcf58ad364c,https://www.moec.gov.ae/en/-/masdar-city-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Dubai Maritime City,Dubai,Renewable Energy,25.27091068,55.26326434,https://www.moec.gov.ae/documents/20121/193445/Dubai-Maritime-City-%281%29.jpg/e56d31cd-7a18-e3e2-5efd-1b49eb80ee56,https://www.moec.gov.ae/en/-/dubai-maritime-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Sharjah Publishing City,Sharjah,NA,25.345131,55.386189,https://www.moec.gov.ae/documents/20121/231694/Sharjah%20Publishing%20City%20%281%29.jpg/be65017e-5580-5eb7-bed3-07aa54b2d002,https://www.moec.gov.ae/en/-/sharjah-publishing-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Hamriyah Free Zone,Sharjah,Maritime Services,25.462654,55.483604,https://www.moec.gov.ae/documents/20121/231564/Hamriya%20Free%20Zone%20%281%29.jpg/543bc7a8-a945-393e-47c4-af7ab9a38e31,https://www.moec.gov.ae/en/-/hamriyah-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,Yes
Dubai Commercity,Dubai,NA,25.26741,55.29268,https://www.moec.gov.ae/documents/20121/231371/Dubai%20CommerCity%20%281%29.jpg/f19ecfab-130b-5eea-b932-dcbef3a85b8e,https://www.moec.gov.ae/en/-/dubai-commercity?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Khalifa Port Free Trade Zone,Abu Dhabi,NA,24.80999409,54.64954478,https://www.moec.gov.ae/documents/20121/231141/Khalifa%20Port%20Free%20Trade%20Zone%20%281%29.jpg/37dfab4d-9f16-aa18-9984-24a0900f026a,https://www.moec.gov.ae/en/-/khalifa-port-free-trade-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Creative City Free Zone,Fujairah,NA,25.12295221,56.32303671,https://www.moec.gov.ae/documents/20121/191385/Creative-City-Free-Zone-Authority-%281%29.jpg/4d94e826-1a27-3181-84b2-3f9c2a2f8e7c,https://www.moec.gov.ae/en/-/creative-city-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Ajman Free Zone,Ajman,NA,25.40708972,55.4534584,https://www.moec.gov.ae/documents/20121/191207/Ajman-FreeZone-%285%29.jpg/de27c1c6-f9d3-e621-9405-d8cb52712e7a,https://www.moec.gov.ae/en/-/ajman-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,Yes
Fujairah Free Zone,Fujairah,NA,25.17257181,56.35097893,https://www.moec.gov.ae/documents/20121/196232/Fujairah-Free-Zone-%284%29.jpg/d4d3c818-bd81-3721-4b8b-e7e850d0e6f8,https://www.moec.gov.ae/en/-/fujairah-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,Yes
Dubai South,Dubai,NA,24.91450015,55.11926243,https://www.moec.gov.ae/documents/20121/195245/Dubai-South-%284%29.jpg/10a64c32-386d-e1c2-04cd-8466750418aa,https://www.moec.gov.ae/en/-/dubai-south?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Dubai World Trade Centre,Dubai,NA,25.22356911,55.28694512,https://www.moec.gov.ae/documents/20121/195939/DWTC-%285%29.jpg/6c629b7b-c011-5efe-84a0-957da88bfe61,https://www.moec.gov.ae/en/-/dubai-world-trade-centre?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Dubai Design District,Dubai,Trade and Logistics,25.18671667,55.30188025,https://www.moec.gov.ae/documents/20121/192216/Dubai-Design-District-%2816%29.jpg/7e73aff4-2726-4f6d-9859-67b1c464d0d9,https://www.moec.gov.ae/en/-/dubai-design-district?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Dubai Science Park,Dubai,NA,25.07471312,55.24032064,https://www.moec.gov.ae/documents/20121/194781/Dubai-Science-Park-%282%29.jpg/480fd082-55d0-91cc-f672-2946ba37ca5b,https://www.moec.gov.ae/en/-/dubai-science-park?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
International Humanitarian City,Dubai,Creative Design,24.89713145,55.07169759,https://www.moec.gov.ae/documents/20121/196320/International-Humanitarian-City-%2812%29.jpg/b5de4bf4-f3d9-fed1-4cbb-0a2f52a0ddeb,https://www.moec.gov.ae/en/-/international-humanitarian-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,Yes
Dubai Multi Commodities Centre,Dubai,NA,25.07370684,55.14733948,https://www.moec.gov.ae/documents/20121/193808/Dubai-Multi-Commodities-Centre-%284%29.jpg/43eb6d0e-d56f-ab01-451c-54b4078d1f60,https://www.moec.gov.ae/en/-/dubai-multi-commodities-centre?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Dubai Outsource City,Dubai,Trade,25.12937082,55.42472388,https://www.moec.gov.ae/documents/20121/193964/Dubai-Outsource-City-%281%29.jpg/87e6fd39-f8c3-08b7-5d82-fd078a1bd987,https://www.moec.gov.ae/en/-/dubai-outsource-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Dubai Silicon Oasis,Dubai,NA,25.12636836,55.38164042,https://www.moec.gov.ae/documents/20121/195005/Dubai-Silicon-Oasis-%286%29.jpg/1db00edc-c0f3-3bbf-71c4-ac3d6db8e4ee,https://www.moec.gov.ae/en/-/dubai-silicon-oasis?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Sharjah Media City - Shams,Sharjah,Trade and Logistics,25.26204681,55.3430119,https://www.moec.gov.ae/documents/20121/197985/Sharjah-Media-City-%2811%29.jpg/b626899f-776d-ec50-70a8-27becd4bb155,https://www.moec.gov.ae/en/-/sharjah-media-city-shams?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,
Sharjah Airport International Free Zone,Sharjah,NA,25.33079496,55.49056343,https://www.moec.gov.ae/documents/20121/197685/Sharjah-Airport-Freezone-Saif-%287%29.jpg/bb75cd3e-3161-418d-fb5b-28bc76d06299,https://www.moec.gov.ae/en/-/sharjah-airport-international-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,Yes
Abu Dhabi Airports Free Zone,Abu Dhabi,Artificial Intelligence and Futuristic Activities,24.42954522,54.6408762,https://www.moec.gov.ae/documents/20121/190563/Abu-Dhabi-Airport-Freezone-%282%29.jpg/90a64f3c-5772-f201-5fca-286096dd4473,https://www.moec.gov.ae/en/-/abu-dhabi-airports-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D1,Yes
Dubai International Financial Centre,Dubai,Financial Hub,25.21115391,55.27953164,https://www.moec.gov.ae/documents/20121/191422/DIFC-%286%29.jpg/39e81062-ce9c-06bf-ecc4-cf7d7943a848,https://www.moec.gov.ae/en/-/dubai-international-financial-centre?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Abu Dhabi Global Market,Abu Dhabi,Financial Hub,24.50150304,54.38868045,https://www.moec.gov.ae/documents/20121/190686/Abu-Dhabi-Global-Market-%281%29.jpg/9c7d2f4f-561f-0113-b998-8afbb0b2f789,https://www.moec.gov.ae/en/-/abu-dhabi-global-market?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Dubai Internet City,Dubai,Technology,25.09800106,55.16323324,https://www.moec.gov.ae/documents/20121/193133/Dubai-Internet-City-%289%29.jpg/f23997a7-ecd2-08e6-0f4c-15a54ee50907,https://www.moec.gov.ae/en/-/dubai-internet-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
twofour54,Abu Dhabi,Media,24.46112319,54.60118472,https://www.moec.gov.ae/documents/20121/191016/Abu-Dhabi-Two-four-54-%281%29.jpg/2b779b3b-7c3c-ac5f-c832-f41391954fc2,https://www.moec.gov.ae/en/-/twofour54-1?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Umm Al-Quwain Free Zone,Umm Al Quwain,MixedNAuse,25.55434101,55.74323143,https://www.moec.gov.ae/documents/20121/198244/UAQ-FREE-ZONE-%282%29.jpg/5ec28790-0be0-5956-9ba9-4fd4a631cb0f,https://www.moec.gov.ae/en/-/umm-al-quwain-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,Yes
Ajman Media City Free Zone,Ajman,Media,25.40487995,55.48362011,https://www.moec.gov.ae/documents/20121/191296/Ajman-Media-City-Freezone-%284%29.jpg/b1b482fc-a055-54a8-d2d0-fccbc327dd24,https://www.moec.gov.ae/en/-/ajman-media-city-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Meydan Free Zone,Dubai,MixedNAuse,25.15671061,55.30023382,https://www.moec.gov.ae/documents/20121/197148/Meydan-Freezone-%288%29.jpg/75f9cdf8-2429-709d-e44d-ce68e343075e,https://www.moec.gov.ae/en/-/meydan-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Dubai Healthcare City,Dubai,Healthcare,25.23179359,55.32408506,https://www.moec.gov.ae/documents/20121/192871/Dubai-Healthcare-City-%285%29.jpg/d035906c-399b-0bce-f6f2-78b6a19542c2,https://www.moec.gov.ae/en/-/dubai-healthcare-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Dubai International Academic City,Dubai,Academic,25.1144236,55.40866474,https://www.moec.gov.ae/documents/20121/191682/Dubai-Academic-City-%282%29.jpg/5086609d-f6f4-d3dd-30c2-25b9264600eb,https://www.moec.gov.ae/en/-/dubai-international-academic-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Dubai Production City,Dubai,Media,25.03198128,55.18988181,https://www.moec.gov.ae/documents/20121/194602/Dubai-Production-City-%281%29.jpg/4bf35a1c-d847-6048-a9cf-cfda2156969b,https://www.moec.gov.ae/en/-/dubai-production-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Dubai Studio City,Dubai,Media,25.03981353,55.24843614,https://www.moec.gov.ae/documents/20121/195646/Dubai-Studio-City-%281%29.jpg/bd1aea74-59d2-7a75-443a-4e16d63aba9b,https://www.moec.gov.ae/en/-/dubai-studio-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Dubai Media City,Dubai,Media,25.0970637,55.15763807,https://www.moec.gov.ae/documents/20121/193601/Dubai-Media-City-%286%29.jpg/965c73ad-8fa8-5a01-5879-b14da394615e,https://www.moec.gov.ae/en/-/dubai-media-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
DAFZ INDUSTRIAL PARK,Dubai,NA,25.28880009,55.40307341,https://www.moec.gov.ae/documents/84353/1893188/%283%29%20%20%D9%85%D9%86%D8%B8%D9%82%D8%A9%20%D8%AF%D8%A7%D9%81%D8%B2%20%20%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D9%8A%D8%A9.jpg/7e23d831-9ddd-ca94-99a4-92366ad5dd5d,https://www.moec.gov.ae/en/-/dafz-industrial-park?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
The Free zone dedicated to the military and security sector in Tawazun Industrial Park,Abu Dhabi,NA,24.69071444,54.74614564,https://www.moec.gov.ae/documents/84353/1893049/%281%29%20%D8%A7%D9%84%D9%85%D9%86%D8%B7%D9%82%D8%A9%20%D8%A7%D9%84%D8%AD%D8%B1%D8%A9%20%D8%A7%D9%84%D9%85%D8%AA%D8%AE%D8%B5%D8%B5%D8%A9%20%D8%A8%D9%82%D8%B7%D8%A7%D8%B9%20%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9%20%D9%88%D8%A7%D9%84%D8%A3%D9%85%D9%86%20%D8%B6%D9%85%D9%86%20%D9%85%D8%AC%D9%85%D8%B9%20%D8%AA%D9%88%D8%A7%D8%B2%D9%86%20%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D9%8A.jpg/43933e63-0253-2580-62b6-fc78a3a29ee4,https://www.moec.gov.ae/en/-/the-free-zone-dedicated-to-the-military-and-security-sector-in-tawazun-industrial-park.?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
